2010,Total,Primaria incompleta,Primaria completa,Secundaria completa,Medio superior y superior,,
Total,29.2225,18.78,22.1775,25.9075,45.3225,,FALSE
Primario,17.155,14.695,16.7175,19.58,29.2825,,FALSE
"Agricultura, ganadería, aprovechamiento forestal, pesca y caza",17.155,14.695,16.7175,19.58,29.2825,,FALSE
Secundario,27.045,21.23,23.28,24.615,41.685,,FALSE
Otros,45.805,22.59,27.8175,38.645,60.905,,FALSE
Industria extractiva y de la electricidad,45.805,22.59,27.8175,38.645,60.905,,FALSE
Minería,44.555,21.9075,27.8225,37.0125,65.7675,,FALSE
"Electricidad, agua y suministro de gas por ductos al consumidor final",47.145,24.3825,27.8675,40.35,56.9275,,FALSE
Construcción,28.8025,25.3875,26.0225,27.205,44.645,,FALSE
Industrias manufactureras,25.1325,17.445,21.0275,23.03,38.5675,,FALSE
Terciario,32.1775,19.945,22.995,27.14,46.6725,,FALSE
Comercio,24.5325,18.0375,21.4375,23.215,32.035,,FALSE
Comercio al por mayor,32.3425,26.275,24.38,25.725,44.15,,FALSE
Comercio al por menor,23.3725,17.3575,21.095,22.8425,29.4175,,TRUE
Servicios,35.605,20.9425,23.8425,29.1425,51.4175,,FALSE
"Transportes, comunicaciones, correo y almacenamiento",29.78,21.7125,24.425,26.5875,39.96,,FALSE
"Transportes, correos y almacenamiento",27.505,21.8025,24.355,25.95,35.235,,FALSE
Información en medios masivos,43.705,16.3075,26.065,32.1225,51.515,,FALSE
"Servicios profesionales, financieros y corporativos",39.905,21.3575,22.505,31.1775,51.555,,FALSE
Servicios financieros y de seguros,49.245,27.145,30.55,37.7,53.335,,FALSE
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,53.7175,32.07,31.1125,49.6475,71.48,,FALSE
"Servicios profesionales, científicos y técnicos",50.53,38.755,29.06,32.8525,55.84,,FALSE
Dirección de corporativos y empresas,75.995,12.045,52.87,56.675,81.4675,,FALSE
Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación,26.51,18.895,19.665,26.5875,34.7725,,FALSE
Servicios sociales,55.87,21.785,27.7075,40.7675,63.3475,,FALSE
Servicios educativos,60.7575,22.9125,29.735,45.84,66.7125,,FALSE
Servicios de salud y de asistencia social,47.855,20.42,25.55,35.2775,56.7875,,FALSE
Servicios diversos,27.0375,20.77,23.695,27.5525,39.7925,,FALSE
"Servicios de esparcimiento, culturales y deportivos, y otros servicios recreativos",57.1325,32.4275,52.035,53.23,69.875,,FALSE
Otros servicios excepto actividades de gobierno,24.5025,20.3825,22.2325,25.0675,33.8075,,FALSE
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,24.1325,20.365,23.105,23.0225,30.92,,FALSE
Actividades del gobierno y de organismos internacionales y extraterritoriales,40.9375,22.625,25.97,30.345,52.0225,,FALSE
No especificado,23.385,18.745,17.9675,22.7175,37.65,,FALSE
